NAME,1,2,3,4,5,6,7,8,9
App Exercise Sci & Resist Training 31G,N,N,N,N,MW,N,N,N,N
Art 30S,N,N,SM,N,N,SM,N,N,N
Band - Advanced 30S,N,N,N,N,N,N,MSt,N,N
Band - Fundamentals 30S,N,N,N,N,MSt,N,N,N,N
Biology 30S,N,N,MW,N,N,MW,N,KT,N
Chemistry 30S,N,RP,N,SK,N,RP,N,N,N
Choral 30S,N,N,N,N,N,N,N,MSt,N
Computer Science 30S,EH,N,N,N,N,N,EH,N,N
Debate 31G,N,N,N,N,N,N,N,MG,N
Digital Media II,N,N,N,N,N,N,N,RU,N
Dramatic Arts 30S,N,N,N,PA,N,N,N,N,N
EAL Tutoring 20E/30E,N,N,N,N,N,N,N,N,TBD
ELA - Literary Focus 30S,N,TC,N,BT,N,JB,N,KZ,N
English 30E,N,N,TBD,N,TBD,N,N,N,N
Français 30S,N,N,N,DR,N,N,N,N,N
French 30S,N,N,DR,N,N,N,N,N,N
History 30F,N,N,MG,N,N,MG,JJ,N,N
History 30F International,N,N,N,N,N,N,N,N,KZ/TBD
Jazz Ensemble 30S,N,N,N,MSt,N,N,N,N,N
Math - Applied 30S,N,N,N,N,KK,N,N,N,N
Math - Essentials 30S,N,N,N,KK,N,N,N,N,N
Math - Pre-Calculus 30S,RU,AR,N,RU,N,AR,N,N,N
Physical Education 30F - FF,N,N,N,N,N,N,N,MC,N
Physics 30S,N,RU,N,N,SW,N,SW,N,N
Spanish 30S/40S,N,N,N,N,N,N,N,TBD,N
Venture Development 30S,N,N,N,CM,N,N,N,N,N
